iter	Passed	Remaining
0	100	100483
1	102	51210
2	104	34600
3	105	26285
4	107	21302
5	108	17981
6	110	15643
7	112	13925
8	114	12595
9	116	11489
10	118	10609
11	119	9846
12	121	9216
13	123	8668
14	125	8222
15	126	7806
16	128	7437
17	130	7112
18	132	6841
19	134	6589
20	136	6346
21	137	6126
22	139	5933
23	141	5752
24	143	5585
25	144	5427
26	146	5282
27	148	5147
28	149	5019
29	151	4902
30	153	4792
31	155	4692
32	157	4608
33	159	4525
34	160	4437
35	162	4363
36	164	4282
37	166	4204
38	167	4134
39	169	4065
40	171	4010
41	173	3952
42	175	3894
43	176	3841
44	178	3794
45	180	3747
46	182	3697
47	183	3648
48	185	3606
49	187	3561
50	189	3517
51	190	3475
52	192	3442
53	194	3409
54	196	3374
55	197	3335
56	199	3302
57	201	3270
58	203	3242
59	205	3215
60	207	3188
61	208	3160
62	210	3135
63	213	3116
64	214	3091
65	216	3068
66	218	3041
67	220	3016
68	221	2992
69	223	2970
70	225	2949
71	227	2926
72	228	2905
73	230	2884
74	232	2865
75	234	2846
76	235	2827
77	237	2809
78	239	2791
79	241	2772
80	242	2755
81	244	2736
82	246	2719
83	247	2702
84	249	2690
85	251	2675
86	253	2660
87	255	2644
88	257	2630
89	258	2616
90	260	2603
91	262	2587
92	264	2576
93	265	2561
94	267	2546
95	269	2533
96	270	2519
97	272	2508
98	274	2496
99	275	2483
100	277	2472
101	279	2459
102	281	2448
103	282	2437
104	284	2425
105	286	2414
106	288	2404
107	289	2392
108	291	2381
109	292	2370
110	294	2361
111	296	2352
112	298	2342
113	300	2333
114	301	2324
115	303	2316
116	305	2306
117	307	2297
118	308	2286
119	310	2277
120	312	2269
121	313	2259
122	315	2250
123	317	2242
124	319	2234
125	321	2228
126	323	2222
127	325	2215
128	327	2207
129	328	2199
130	330	2191
131	332	2183
132	333	2175
133	335	2169
134	337	2161
135	339	2154
136	340	2147
137	342	2140
138	344	2135
139	346	2128
140	348	2120
141	349	2113
142	351	2107
143	353	2100
144	355	2094
145	356	2086
146	358	2080
147	360	2073
148	361	2067
149	363	2060
150	365	2054
151	367	2050
152	369	2044
153	370	2037
154	372	2030
155	374	2023
156	375	2017
157	378	2019
158	380	2014
159	383	2013
160	386	2014
161	388	2010
162	390	2005
163	392	2000
164	394	1994
165	396	1992
166	398	1987
167	400	1983
168	402	1977
169	403	1971
170	405	1966
171	407	1962
172	409	1956
173	411	1952
174	412	1946
175	414	1941
176	416	1936
177	418	1932
178	419	1926
179	421	1922
180	423	1916
181	425	1912
182	427	1906
183	428	1900
184	430	1898
185	432	1894
186	434	1889
187	436	1884
188	438	1881
189	440	1877
190	442	1872
191	444	1871
192	446	1867
193	448	1863
194	450	1859
195	452	1854
196	454	1852
197	456	1848
198	458	1844
199	459	1839
200	461	1836
201	463	1832
202	465	1828
203	467	1824
204	469	1820
205	471	1816
206	472	1811
207	474	1806
208	476	1802
209	478	1799
210	479	1794
211	481	1790
212	483	1785
213	485	1781
214	486	1777
215	488	1773
216	490	1769
217	491	1764
218	494	1762
219	495	1757
220	497	1753
221	499	1748
222	500	1745
223	503	1744
224	505	1742
225	508	1741
226	510	1737
227	512	1734
228	514	1731
229	516	1728
230	518	1724
231	520	1721
232	521	1718
233	523	1715
234	525	1712
235	528	1709
236	530	1706
237	532	1704
238	534	1701
239	536	1698
240	538	1694
241	539	1691
242	541	1688
243	543	1684
244	545	1680
245	547	1676
246	549	1674
247	550	1670
248	552	1666
249	554	1662
250	556	1659
251	557	1656
252	559	1652
253	561	1648
254	563	1644
255	565	1642
256	567	1639
257	568	1635
258	570	1631
259	572	1629
260	574	1625
261	575	1621
262	577	1618
263	579	1616
264	581	1613
265	583	1610
266	585	1607
267	588	1606
268	590	1604
269	592	1601
270	594	1597
271	596	1595
272	597	1592
273	599	1589
274	601	1586
275	603	1584
276	605	1580
277	607	1577
278	608	1573
279	611	1571
280	612	1568
281	614	1564
282	616	1562
283	618	1558
284	620	1556
285	622	1553
286	623	1550
287	625	1546
288	627	1544
289	629	1541
290	631	1539
291	633	1535
292	635	1533
293	637	1530
294	638	1527
295	640	1523
296	643	1522
297	645	1520
298	646	1516
299	648	1513
300	650	1511
301	652	1508
302	654	1505
303	656	1502
304	658	1500
305	661	1500
306	664	1498
307	666	1497
308	669	1496
309	671	1493
310	673	1492
311	676	1490
312	678	1488
313	679	1485
314	683	1487
315	686	1485
316	688	1483
317	690	1481
318	693	1480
319	695	1478
320	699	1478
321	701	1476
322	702	1473
323	706	1473
324	712	1478
325	716	1480
326	718	1478
327	721	1478
328	723	1476
329	727	1476
330	729	1474
331	731	1472
332	733	1468
333	735	1466
334	737	1464
335	739	1461
336	741	1458
337	743	1455
338	745	1453
339	747	1450
340	748	1447
341	750	1444
342	752	1442
343	755	1440
344	757	1439
345	760	1437
346	762	1434
347	764	1431
348	766	1429
349	768	1427
350	771	1426
351	773	1423
352	775	1420
353	778	1421
354	782	1420
355	785	1420
356	787	1419
357	790	1416
358	793	1417
359	800	1423
360	802	1421
361	805	1419
362	807	1417
363	811	1417
364	813	1415
365	816	1414
366	820	1415
367	823	1413
368	826	1413
369	829	1411
370	831	1410
371	835	1411
372	837	1408
373	840	1406
374	842	1404
375	845	1402
376	848	1401
377	850	1400
378	853	1398
379	855	1396
380	859	1396
381	863	1396
382	867	1398
383	870	1396
384	872	1394
385	875	1392
386	878	1391
387	880	1389
388	883	1386
389	885	1385
390	890	1386
391	895	1388
392	897	1386
393	900	1384
394	904	1386
395	907	1383
396	911	1383
397	913	1382
398	916	1380
399	920	1381
400	923	1379
401	926	1377
402	930	1378
403	934	1378
404	938	1378
405	941	1377
406	944	1375
407	947	1374
408	950	1373
409	954	1372
410	957	1372
411	960	1370
412	964	1371
413	971	1375
414	976	1377
415	979	1375
416	981	1372
417	984	1371
418	987	1368
419	990	1367
420	992	1364
421	994	1362
422	997	1360
423	1000	1358
424	1002	1356
425	1005	1355
426	1007	1352
427	1010	1349
428	1014	1349
429	1016	1347
430	1018	1345
431	1021	1343
432	1024	1340
433	1026	1338
434	1028	1336
435	1031	1334
436	1033	1331
437	1037	1330
438	1039	1327
439	1041	1325
440	1043	1323
441	1045	1320
442	1048	1317
443	1050	1315
444	1053	1314
445	1055	1311
446	1057	1308
447	1060	1306
448	1062	1303
449	1064	1301
450	1067	1298
451	1069	1296
452	1071	1293
453	1073	1291
454	1076	1289
455	1078	1286
456	1081	1285
457	1083	1282
458	1086	1280
459	1088	1277
460	1091	1276
461	1093	1273
462	1096	1271
463	1099	1269
464	1101	1267
465	1104	1265
466	1107	1263
467	1109	1261
468	1112	1259
469	1115	1258
470	1118	1256
471	1121	1254
472	1123	1252
473	1126	1249
474	1128	1247
475	1131	1245
476	1134	1243
477	1137	1242
478	1140	1240
479	1142	1237
480	1146	1236
481	1148	1234
482	1151	1232
483	1153	1230
484	1156	1228
485	1160	1227
486	1162	1224
487	1168	1225
488	1171	1224
489	1173	1221
490	1176	1219
491	1178	1217
492	1180	1214
493	1183	1211
494	1187	1211
495	1189	1208
496	1192	1207
497	1195	1205
498	1198	1202
499	1200	1200
500	1203	1198
501	1204	1195
502	1207	1192
503	1212	1193
504	1215	1191
505	1219	1190
506	1221	1187
507	1225	1186
508	1227	1184
509	1229	1181
510	1234	1180
511	1236	1178
512	1241	1178
513	1243	1176
514	1246	1174
515	1253	1175
516	1257	1175
517	1260	1172
518	1264	1171
519	1267	1170
520	1270	1167
521	1273	1166
522	1277	1164
523	1280	1163
524	1282	1160
525	1285	1158
526	1288	1156
527	1291	1154
528	1293	1151
529	1295	1148
530	1297	1145
531	1299	1143
532	1301	1140
533	1308	1141
534	1310	1139
535	1314	1137
536	1316	1134
537	1319	1132
538	1321	1130
539	1324	1127
540	1326	1125
541	1328	1122
542	1330	1120
543	1333	1117
544	1335	1115
545	1337	1112
546	1339	1109
547	1341	1106
548	1344	1104
549	1346	1101
550	1348	1099
551	1351	1097
552	1353	1094
553	1356	1091
554	1358	1089
555	1360	1086
556	1362	1083
557	1364	1081
558	1368	1079
559	1370	1076
560	1372	1073
561	1375	1071
562	1377	1069
563	1380	1066
564	1382	1064
565	1385	1061
566	1386	1059
567	1390	1057
568	1393	1055
569	1396	1053
570	1411	1060
571	1415	1059
572	1418	1056
573	1420	1054
574	1423	1051
575	1425	1049
576	1427	1046
577	1429	1043
578	1432	1041
579	1434	1038
580	1436	1035
581	1439	1033
582	1441	1030
583	1443	1028
584	1446	1026
585	1448	1023
586	1451	1021
587	1454	1019
588	1456	1016
589	1458	1013
590	1461	1011
591	1463	1008
592	1465	1006
593	1470	1005
594	1474	1003
595	1477	1001
596	1479	998
597	1481	996
598	1485	994
599	1487	991
600	1489	989
601	1491	986
602	1494	983
603	1496	981
604	1498	978
605	1500	975
606	1502	972
607	1503	969
608	1505	966
609	1507	963
610	1510	961
611	1512	958
612	1514	956
613	1516	953
614	1518	950
615	1519	947
616	1521	944
617	1523	941
618	1525	939
619	1527	936
620	1530	933
621	1534	932
622	1537	930
623	1539	927
624	1541	925
625	1543	922
626	1545	919
627	1547	916
628	1549	914
629	1551	911
630	1553	908
631	1555	905
632	1557	903
633	1559	900
634	1561	897
